"title","artist","album","year","duration"
"Boogie Skit","Beatconductor","Brand New Secondhand",2008,"1:10"
"Hangin' Around (Skit)","Beatconductor","Brand New Secondhand",2008,"0:58"
"Bedlam World (Skit)","Bedlam Brethren","Black Feather Messengers",2012,""
"Chaotic Visions (Skit)","Bedlam Brethren","Black Feather Messengers",2012,""
"Consado (Skit)","Bedlam Brethren","Black Feather Messengers",2012,""
"Skit Smoke","Beelow","Beelow Presents Ballers & Shot Callers The Compilation, Vol. 1",2000,""
"Big Mouth (Skit)","Beelow","Beelow Presents Ballers & Shot Callers The Compilation, Vol. 1",2000,""
"A Legal Question (Skit)","Bekay","The Horror Flick LP",2007,""
"Skit: Motivational Speaker","Bekay","The Future Of Hip Hop Is Now",2004,""
"Hip-Hop Icons (Skit)","Beneficence","Vocal Sport",2006,"0:48"
"Paul Rosenberg Sellout Skit 2","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"DJ Johnny B In Greece (Skit)","Benzino","Antidote",2007,""
"Paul Rosenberg Sellout Skit 1","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Paul Rosenberg Sellout Skit 8","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Picalo (Skit)","Benzino","Antidote",2007,""
"Halfway (Skit)","Benzino","The Benzino Project",2001,"2:03"
"Paul Rosenberg Sellout Skit 3","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Kilo & Nate (Bloodline Skit)","Benzino","Antidote",2007,""
"Paul Rosenberg Sellout Skit 4","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Fat Fuck Chuck's Skit (True Shit)","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Scarface (Skit)","Benzino","Antidote",2007,""
"The Interview (Skit)","Benzino","Antidote",2007,""
"Radio Skit","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Paul Rosenberg Sellout Skit 5","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"A Bad Year (Skit)","Benzino","Antidote",2007,""
"Debbie Mathers Skit 2","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Paul Rosenberg Sellout Skit 6","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Paul Rosenberg Sellout Skit 7","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Sorry (Skit)","Benzino","Arch Nemesis",2004,""
"Ride (Skit)","Benzino","Arch Nemesis",2004,""
"News Flash (Skit)","Benzino","Arch Nemesis",2004,""
"Got No Weed (Skit)","Benzino","The Benzino Project",2001,""
"Numb (Skit)","Benzino","Arch Nemesis",2004,""
"Phone (Skit)","Benzino","The Benzino Project",2001,""
"Hallway (Skit)","Benzino","The Benzino Remix Project",2002,""
"Big Trev (Skit)","Benzino","The Benzino Remix Project",2002,""
"Road Rage (Skit)","Benzino","The Benzino Project",2001,""
"JB's Floatin' (Skit)","Benzino","The Benzino Project",2001,""
"Debbie Mathers (Mother) Skit 1","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"Nate's Place (Skit)","Benzino","The Benzino Project",2001,""
"I'm F***ed Up (Skit)","Benzino","The Benzino Remix Project",2002,""
"Otto - Phone Skit","Benzino","Benzino Presents Die Another Day: Flawless Victory",2003,""
"JB Floatin' (Skit)","Benzino","Arch Nemesis",2004,""
"Good Girl (Skit)","Bet 1","All Bets Off",2011,"0:14"
"Casino (Skit)","Bet 1","All Bets Off",2011,"1:17"
"Ring The Alarm Intro Skit (Jailhouse Confessions)","Beyoncé","The Beyoncé Experience Live",2008,"3:33"
"Fuck Ya'll (Skit)","BHC","Openin' Doors",1997,""
"Skit","Biaje","Madd Rapps",2001,""
"Skit","Bicasso","For Rent",2003,""
"Scream It (Skit)","Big A (7)","Who Dat Be?",2005,""
"Ballin (Skit)","Big A (7)","Who Dat Be?",2005,""
"Take Advantage (Skit)","Big Amp","4/20 Friendly",2014,""
"Slid Juice (Skit)","Big Amp","Slid Juice",2014,""
"Weed Is Not A Drug (Skit)","Big Amp","4/20 Friendly",2014,""
"Skit","Big B (11)","Pyrex Visions",2005,""
"Harley (Skit)","Big B (4)","More To Hate",2007,"0:19"
"Collared Shirts (Skit)","Big B (4)","White Trash Renegade",2005,"0:44"
"New Beginnings (Skit)","Big B (4)","White Trash Renegade",2005,"1:22"
"Nicki Minaj Eating Cinnamon Toast Crunch (Skit)","Big Booty Bill And Da Fish","Very Omnipotent Swag Corporation/Dictatorship Of The Swagletariat",2013,"0:22"
"Broke Nigga (Skit)","Big Businezz","The Fam",0,""
"Dj Screw Skit","Big Chance","Apt. 100 Where It All Began",0,""
"Skit","Big Drawz","The Eargasm",2005,""
"Skit","Big Ed (2)","Special Forces",2000,"2:22"
"Club Skit","Big G (5)","I'm Bigger Than You",0,""
"Church Skit","Big Heavy","Doggin' Em",1996,""
"Master (Skit)","Big Hutch","The Big Hit",2014,"0:08"
"Bank (Skit)","Big Hutch","The Big Hit",2014,"0:44"
"Skit","Big Hutch","Live From The Ghetto",2004,"0:26"
"Peace (Skit)","Big Hutch","The Big Hit",2014,"0:37"
"Break (Skit)","Big Hutch","The Big Hit",2014,"1:28"
"Wake Up Call (Skit)","Big Hutch","The Big Hit",2014,"0:10"
"Skit","Big Jess","Good Clean Fun!",2004,""
"The Dice Game Skit","Big June","Flamed Up",2006,""
"The Tunnel (Skit)","Big Krizz Kaliko","Vitiligo",2008,""
"The Ride (Skit)","Big Krizz Kaliko","Vitiligo",2008,""
"The Ride II (Skit)","Big Krizz Kaliko","Vitiligo",2008,""
"What Time Is It? (Skit)","Big Left","World War Three Street CD",2007,"1:10"
"Mating Call (Skit)","Big Left","World War Three Street CD",2007,"0:52"
"What's Next (Skit)","Big Left","World War Three Street CD",2007,"1:30"
"Mixtape Track Record (Skit)","Big Left","World War Three Street CD",2007,"0:41"
"WW 3 (Opening Skit)","Big Left","World War Three Street CD",2007,"0:46"
"Thank You Outro (Skit)","Big Left","World War Three Street CD",2007,"1:00"
"Skit","Big Lokote","Rage",2006,""
"Skit","Big Mello","Bone Hard Zaggin Chopped & Screwed",2005,""
"Mike Epps Skit","Big Mike (6)","Mac Wit Da Cheese",2009,"0:18"
"Skit","Big Mike (6)","Mac Wit Da Cheese",2009,"0:18"
"Freestyle Skit","Big Moe","City Of Syrup",2013,""
"Dime Piece (Skit)","Big Moe","Purple World",2002,"0:36"
"Ra-Ra- Skit","Big Moe","City Of Syrup",2013,""
"Drank Skit","Big Moe","City Of Syrup",2013,""
"Intro Skit","Big Moe","Purple World",2002,""
"Skit (Mama M.O.E.)","Big Moe","City Of Syrup",2013,""
"Skit","Big Moe","Unfinished Business",2008,"0:36"
"Doctor's Office Skit","Big Moe","The Best Of Big Moe",2007,""
"Skit - Interview","Big Moe","Moe Life...",2003,"0:36"
"Skit (Majic)","Big Money Dave","Just Like Stacy Adams",2003,""
"Skit (Jazzy Lover)","Big Money Dave","Just Like Stacy Adams",2003,""
"Wildin' On The Tour Bus (Skit)","Big Noyd","Only The Strong",2003,""
"Get Doe Skit","Big Noyd","On The Grind",2004,""
"On The Grind Skit","Big Noyd","On The Grind",2004,""
"Dem Boyz (Skit)","BIG Pokey","A Bad Azz Mix Tape Tape III Slowed & Chopped",2004,""
"Dem Boyz (Skit)","Big Pokey","A Bad Azz Mix Tape Tape III",2004,""
"Amo A Su Papi De La Barra (Skit)","Big Pooh","The Delightful Bars (The North American Pie Version)",2009,""
"Pakinamac - Skit","Big Punisher","Capital Punishment (Clean Album)",1998,"0:57"
"Censored - Skit","Big Punisher","Capital Punishment (Clean Album)",1998,"2:12"
"Packinamac Pt. 1 - Skit","Big Punisher","Capital Punishment",1998,""
"Pakinamac Pt. II - Skit","Big Punisher","Capital Punishment",1998,"0:57"
"Charlie Rock Shout - Skit","Big Punisher","Capital Punishment (Clean Album)",1998,"0:26"
"Pakinamac Pt. I - Skit","Big Punisher","Capital Punishment",1998,"1:35"
"Uncensored - Skit","Big Punisher","Capital Punishment",1998,"2:12"
"Air Pun (Skit)","Big Punisher","Yeeeah Baby",2000,"0:55"
"Taster's Choice - Skit","Big Punisher","Capital Punishment",1998,"1:20"
"Packinamac Pt. 2 - Skit","Big Punisher","Capital Punishment",1998,""
"Wuss Up Buhh? (Skit)","Big Scoob (2)","Damn Fool",2011,""
"The Recipe (Skit)","Big Scoob (2)","Damn Fool",2011,""
"Frank & Berry (Skit)","Big Scoob (2)","Damn Fool",2011,""
"Fuck Strange (Skit)","Big Scoob (2)","Damn Fool",2011,""
"Drafted Intro (Skit)","Big Scoob (2)","Monsterifik",2009,""
"Punk Bitch (Skit)","Big Scoob (2)","Damn Fool",2011,""
"Always Gone (Skit)","Big Scoob (2)","Damn Fool",2011,""
"Lil Kuzz (Skit)","Big Scoob (2)","Damn Fool",2011,""
"Outro (Skit)","Big Sean","UKNOWBIGSEAN",2009,"0:29"
"Finally Famous (Skit)","Big Sean","UKNOWBIGSEAN",2009,"0:42"
"Intro (Skit)","Big Sean","UKNOWBIGSEAN",2009,"0:23"
"UKNOWBIGSEAN (Skit)","Big Sean","UKNOWBIGSEAN",2009,"0:43"
"Blog (Skit)","Big Sean","UKNOWBIGSEAN",2009,"0:24"
"DJ Shout Outs (Skit)","Big Sean","UKNOWBIGSEAN",2009,"0:41"
"Dank Surprise (Skit)","Big Shawn (2)","Big Slayer The Beat Layer",2002,"0:14"
"On Drug (Skit)","Big Shawn (2)","Big Slayer The Beat Layer",2002,"0:36"
"Life Is Skipped (Skit)","Big Shawn (2)","Big Slayer The Beat Layer",2002,"0:30"
"Skit BS","Big Shawn (2)","The Legion Of Honor",2002,"0:19"
"Turn Me On (Skit)","Big Shawn (2)","Legion Of Honor",2011,"0:24"
"Backward World (Skit)","Big Shawn (2)","Big Slayer The Beat Layer",2002,"0:13"
"Let It All Out (Skit)","Big Shawn (2)","Big Slayer The Beat Layer",2002,"1:00"
"Premier Skit","Big Shug","Never Say Die",2005,"1:17"
"Skit","Big Slep Rock","California Project Vol.2: State Raised",2005,""
"Skit","Big Sloan","Raider Gang",2015,""
"Skit","Big Steve","My Testimony",1999,"0:52"
"Skit","Big T (3)","Power Move",2000,""
"Ready To Rumble (Skit)","Big Tiger","Presents Shyt Talkers",2001,"0:54"
"Boot Leggers (Skit)","Big Tiger","Presents Shyt Talkers",2001,"0:52"
"Preppy Pimp (skit)","Big Tymers","How You Luv That, Vol. 1",1998,""
"Skit - Big Chief","Big Tymers","I Got That Work",2000,"1:14"
"Phone Call (Skit)","Big Tymers","How You Luv That, Vol. 1",1998,""
"I'm A Dog/ I'm Sorry (Skit)","Big Tymers","Big Money Heavy Weight",2003,"4:35"
"I Need Help (Skit)","Big Tymers","Big Money Heavy Weight",2003,"1:55"
"(Skit)","Bigga Figgaz","Heavy In The Game",2000,""
"C.O.G. (Skit)","Bigga Figgaz","Heavy In The Game",2000,""
"C'mere (Skit)","Bilal","1st Born Second",2001,""
"Boom/skit #4","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"1:45"
"Scooby Doo/skit #11","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"4:39"
"Men Fist Soul/skit #10","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"2:58"
"Skit #1","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"0:52"
"Billy's Ark/skit #9","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"2:18"
"Cut The Check/skit #!2 (THE End)","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"2:38"
"Switch Up/skit #2","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"2:45"
"Back For The Late Night/skit #7","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"2:49"
"Puttin' Rush/skit #6","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"4:32"
"You Can Get It/skit #3","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"5:05"
"Uptown/skit #5","Bill Ray","DJ Maseo Presents Hip Hop AKA Bill Ray",2009,"3:39"
"Skit","Billy Smokes","Filthy Flint Money",2004,""
"97' Forecast [Skit]","Binkis","The Reign Begins",2002,"2:21"
"Skit","Bionic Jive","Passion Over Politics",2008,""
"Get It Hot (Skit)","Bionic Jive","Armageddon Through Your Speaker",2001,"0:45"
"Respect - Skit","Birdman (2)","Like Father, Like Son",2006,"0:35"
"Loyalty - Skit","Birdman (2)","Like Father, Like Son",2006,"1:57"
"Family Rules - Skit","Birdman (2)","Like Father, Like Son",2006,"0:45"
"Protector - Skit","Birdman (2)","Like Father, Like Son",2006,"0:36"
"Bridge (Skit)","Bishop (15)","Day Of Reckoning",2007,"0:56"
"Backpack (Skit)","Bishop (15)","Day Of Reckoning",2007,"5:55"
"N/A Meeting (Skit)","Bishop (15)","Day Of Reckoning",2007,"1:22"
"Community Lost Skit","Bishop Lamont","The Confessional",2008,"0:57"
"Devils Ain't Got No Love Skit","Bishop Lamont","The Confessional",2008,""
"Shake That Bitch Skit / Dilated Pimpin'","Bishop Lamont","The Layover",2012,"2:39"
"Devil Aint Got No Love Skit","Bishop Lamont","The Confessional",2008,"0:36"
"Biz Is Goin' Off (Video Skit)","Biz Markie","Goin' Off",2007,"0:55"
"Vapors (Video Skit Freestyle)","Biz Markie","Goin' Off",2007,"0:24"
"The Fan (Skit)","Bizarre (2)","Friday Night At St. Andrews",2010,"1:00"
"Fat Father (Skit)","Bizarre (2)","Friday Night At St. Andrews",2010,"1:28"
"Life Styles (Skit)","Bizarre (2)","Hannicap Circus",2005,""
"Public Service Announcement (Skit)","Bizarre (2)","Hannicap Circus",2005,""
"Skit","Bizzy Bone","The Beginning & The End",2004,""
"Animal Speaks [Skit]","Bizzy Bone","The Bone Collector Vol. 2",2011,""
"Gold Digger (Skit)","Bizzy Bone","Thugs Revenge",2006,""
"Layzie Bone Speaks [Skit]","Bizzy Bone","The Bone Collector Vol. 2",2011,""
"""Telephone"" (Skit)","Blac Haze","Res-Sa-Rec-Shun",1998,"0:54"
"Intro (Skit)","Blac Haze","So Much Drama",2002,"0:08"
"""Miami Jams"" (Skit)","Blac Haze","Res-Sa-Rec-Shun",1998,"0:46"
"""Blac On Black"" (Skit)","Blac Haze","Res-Sa-Rec-Shun",1998,"1:34"
"""The Real Blac Haze"" (Skit)","Blac Haze","So Much Drama",2002,"1:58"
"""Paper Chase"" (Skit)","Blac Haze","Res-Sa-Rec-Shun",1998,"1:24"
"""Hoe Shit"" (Skit)","Blac Haze","So Much Drama",2002,"2:09"
"Secret Skit","Blac Monks","Secrets Of The Hidden Temple",1994,""
"Blac Monk Intro / Jungle Skit","Blac Monks","Secrets Of The Hidden Temple",1994,""
"Death Before Dishonor / Secret Skit","Blac Monks","Secrets Of The Hidden Temple",1994,""
"Skit","Blac Monks","Secrets Of The Hidden Temple Chopped & Screwed",2005,""
"Jungle Skit","Blac Monks","Secrets Of The Hidden Temple",1994,""
"Freestyle (Skit)","Blacastan","Me Against The Radio",2007,"1:41"
"Skit","Black Despos","Bring Da Noise",2002,""
"Having Thangs (Skit)","Black Dynasty","Reality Check",2002,""
"Skit 3","Black Knights","Every Night Is A Black Knight",2004,""
"Skit 2","Black Knights","Every Night Is A Black Knight",2004,""
"Skit 1","Black Knights","Every Night Is A Black Knight",2004,""
"Skit","Black Knights","The Stolen Legacy Vol. 1",2010,""
"Skit","Black Lagoon (2)","The Pimp Bones LP",2005,"0:16"
"Skit","Black Mafia","Family Reunion",2005,""
"Willie Earl Skit","Black Mafia","Family Reunion",2005,""
"Two Old Men Feat Ant And Sun (Skit)","Black Market Militia","Killah priest and Tragedy Khadafi presents The Black Market Mix Tape Vol. 2 featuring Maccabeez",0,""
"Girlfriend (skit)","Black Market Militia","Killah priest and Tragedy Khadafi presents The Black Market Mix Tape Vol. 2 featuring Maccabeez",0,""
"Wheres My Tape Part 2 (Skit)","Black Market Militia","Killah priest and Tragedy Khadafi presents The Black Market Mix Tape Vol. 2 featuring Maccabeez",0,""
"Woo (Skit)","Black Menace","Presents: The IV Horsemen",2001,""
"Skit (Special Delivery)","Black Menace","Presents: The IV Horsemen",2001,""
"Skit (Atlanta, GA)","Black Menace","Presents: The IV Horsemen",2001,""
"Skit 3","Black Mikey","Premeditated Music",2012,""
"Skit 2","Black Mikey","Premeditated Music",2012,""
"Skit 1","Black Mikey","Premeditated Music",2012,""
"Black And Brown / Mad Rapper Skit","Black Milk","Album Of The Year",2010,"5:22"
"Mad Rapper Skit (Fatt Father)","Black Milk","Album Of The Year",2010,""
"MC Everybody (Skit)","Black Moon","Total Eclipse",2003,"1:12"
"Ruck Is Dead (Skit)","Black Moon","Total Eclipse",2003,"0:17"
"7 Year Old Abortion (Skit)","Black Nasty (2)","Shark Tank",2009,"1:01"
"Rape Hotline (Skit)","Black Nasty (2)","Shark Tank",2009,"1:33"
"Four Times (Skit)","Black Nasty (2)","Shark Tank",2009,"0:34"
"Everybody (Skit)","Black Pirate Militia","Us Against Us",2000,""
"Pirate (Skit)","Black Pirate Militia","Us Against Us",2000,""
"Billy (Skit)","Black Pirate Militia","Us Against Us",2000,""
"Nate (Skit)","Black Pirate Militia","Us Against Us",2000,""
"Cop Skit (Interlude)","Black Rob","Life Story",2000,"1:40"
"Courtroom Skit","Black Rob","The Black Rob Report",2005,""
"Not Guilty (Skit)","Black Wallstreet","Welcome To Wall Street: Let The Hazing Begin",2008,""
"Hotline (Skit)","Black Walt","55th Street Legend",2008,"0:16"
"Club Scene (Skit)","Black Walt","55th Street Legend",2008,"0:22"
"Breakin News (Skit)","Black Walt","55th Street Legend",2008,"0:15"
"Fu*k Black Walt (Skit)","Black Walt","55th Street Legend",2008,"0:23"
"Dick Rydin Radio (Skit)","Black&Mild","Bottled Up",2005,""
"Zappin' Skit","Blackhouse (4)","The Black House",2012,""
"Wild Style Skit","Blackhouse (4)","The Black House",2012,""
"Skit #1","Blak Jak","Place Your Bets",2006,""
"Skit #2","Blak Jak","Place Your Bets",2006,""
"Street Poetry (Skit)","Blakk Flagg","Street Poetry",2001,""
"Money Is Power (Skit)","Blakk Flagg","Street Poetry",2001,""
"Body Rock (Management Skit #1)","Blaque Watch","Street Politiks",0,""
"Queen Peace (Management Skit #2)","Blaque Watch","Street Politiks",0,""
"Diligent (Management Skit #3)","Blaque Watch","Street Politiks",0,""
"Luv To Hate Me - Remix (Management Skit #4)","Blaque Watch","Street Politiks",0,""
"Skit","Blaxuede","Dey Don't Kno",1999,"4:25"
"What Tha Fuck (Skit)","Block Bleedaz","Bleedin' Da Block",2005,""
"What Thizz It (Skit)","Block Bleedaz","Bleedin' Da Block",2005,""
"Isabella's First Skit","Block McCloud","Spittin' Image",2006,"0:47"
"Donnie Dipskit","Block McCloud","Spittin' Image",2006,"0:47"
"A Square Skit","Block McCloud","Spittin' Image",2006,"0:16"
"White Noise Skit","Block McCloud","Spittin' Image",2006,"0:07"
"Fuck Crab (Skit)","Bloods & Crips","Bangin' On Wax 2...The Saga Continues",2003,"0:35"
"187 (Skit)","Bloods & Crips","Bangin' On Wax 2...The Saga Continues",2003,"0:45"
"Skit","Bloody Jay","Blatlanta 3: Respect ",2015,"0:46"
"Respect Skit","Bloody Jay","Blatlanta 3: Respect ",2015,"0:41"
"I Have Anything You Need Skit","Blunts LLA","City Of Gods",2005,""
"Like An Uzi Skit","Blunts LLA","City Of Gods",2005,""
"ILLest In NC (Skit)","Bo (13)","Ya'll Made Me",2001,"1:37"
"The Disconnect (Skit)","Bo Benton","Queen Of The Night",2009,"0:50"
"On The Way To The Club (Skit)","Bo Benton","Queen Of The Night",2009,"0:56"
"Trapped Soul (Skit)","Bob E. Nite","Dead & Dead3r",2009,""
"22Hours :: Skit(22 Horas)","Bocafloja","Jazzyturno",2005,""
"My Nigga :: Skit","Bocafloja","Jazzyturno",2005,""
"Send A Message (Skit)","Boldy James","Trapper's Alley - Pros And Cons: The Quikcrete Ready Mixtape",2011,""
"Applied Mathematics (Skit)","Boldy James","Trapper's Alley - Pros And Cons: The Quikcrete Ready Mixtape",2011,""
"You Know My Name (Skit)","Boldy James","Trapper's Alley - Pros And Cons: The Quikcrete Ready Mixtape",2011,""
"Apollo Commercial (Skit)","Bolo's Kitchen","Blood Sweat & Years",2005,""
"Chief Ike's Interlude 2 (Skit)","Bolo's Kitchen","Blood Sweat & Years",2005,""
"Chief Ike's Interlude 1 (Skit)","Bolo's Kitchen","Blood Sweat & Years",2005,""
"Skit","Bombay","I Told U",2002,""
"Skit","Bombshell & Baby Capone","Life Is A Battlefield",1999,""
"Strippersmoneyweedandawgz (Skit)","Bon & Nip","The Release",1999,""
"Skit","Bone Hard Productions","Wegonefunkwichamind - Chopped & Screwed",2005,""
"Skit","Bone Thugs-N-Harmony","The Lost Archives Vol. 1",2013,"0:30"
"Skit#1","Boo (4)","601",1999,""
"Skit#2","Boo (4)","601",1999,""
"Task Force (Skit)","Boo (4)","The Boss Player",1996,"1:48"
"Long Head Skit","Boogie (3)","Under Da Influenz",1994,"0:51"
"Mother Son Skit","Boogie (3)","Under Da Influenz",1994,"1:09"
"Rehab Skit","Boogie (3)","Under Da Influenz",1994,"1:42"
"Hoe Land Skit","Boogie The Big Man","Da Next Epysode",2004,""
"What You Gotta Say? Skit","Boogie The Big Man","Da Next Epysode",2004,""
"I Work 4 GGW Skit","Boogie The Big Man","Da Next Epysode",2004,""
"Tha Label Guy (Skit)","Boom Bap Project","Reprogram",2005,"2:05"
"Skit","Boostin Kev","A Chicken Head / Brooklyn Takin' Money",1996,"0:43"
"Yeah What Eva (Skit)","Boot Camp Clik","The Chosen Few",2002,""
"Club F*cking (Skit)","Bootleg (4)","Hated By Many Loved By Few",2001,""
"Joke Cracking (Skit)","Bootleg (4)","Hated By Many Loved By Few",2001,""
"Skit","Bootsy Collins","Fresh Outta ""P"" University",1998,"0:22"
"Late Night Skit","Border Crossing","Ominous",2005,""
"T.A.G.O. (Skit)","Born One","Push N' Wait",2010,"1:05"
"Skit (Who Is Krazee?)","Born Suspicious","The Ep",1999,""
"Skit We Are The Same","Born Suspicious","World Of Madness",1999,"0:45"
"SKit In It For Life","Born Suspicious","World Of Madness",1999,"0:36"
"Skit -Tha Hoggs-","Boss Hogg Outlawz","Boyz-N-Blue - We Make The Rules In The Streets",2004,""
"Lil Ho Skit","Boss Hogg Outlawz","Tha Boss Vol 1",2006,""
"Radio Skit","Boss Hogg Outlawz","Tha Boss Vol 1",2006,""
"Skit","Boss Hogg Outlawz","Rap Hustler ",2004,""
"Skit - Doggy","Bossman","Law & Order",0,""
"Skit - Kidd","Bossman","Law & Order",0,""
"Skit - Mama Boss","Bossman","Law & Order",0,""
"Skit - Kenedi","Bossman","Law & Order",0,""
"The Call Skit","Bossolo","Thug Therapy",2015,"1:04"
"Therapeutic Skit","Bossolo","Thug Therapy",2015,"0:07"
"Skit (Spice 1)","Bossolo","Thug Therapy",2015,"0:05"
"Dj Quik Skit","Bossolo","The Boss Playa Project",2011,""
